episode,reward,duration,qstep
0,-200.0,200,-129.54211083968485
1,-200.0,200,-128.3566099220055
2,-200.0,200,-124.17406860205593
3,-200.0,200,-168.25588671831693
4,-200.0,200,-161.7147339366666
5,-200.0,200,-143.1894834637039
6,-200.0,200,-170.57101731054217
7,-200.0,200,-186.31481854535883
8,-200.0,200,-174.6283436564595
9,-200.0,200,-160.696895573377
10,-200.0,200,-167.0774370958943
11,-200.0,200,-135.06286456619097
12,-200.0,200,-153.74100937874536
13,-200.0,200,-159.4548401093512
14,-200.0,200,-166.92125568411734
15,-200.0,200,-151.73136383358215
16,-200.0,200,-159.11107409161949
17,-200.0,200,-154.7934687598678
18,-200.0,200,-156.35170851312043
19,-200.0,200,-162.54886177456365
20,-200.0,200,-163.7025639081867
21,-200.0,200,-150.70650952381754
22,-200.0,200,-155.02262866350193
23,-200.0,200,-154.32920198487514
24,-200.0,200,-162.71548134838653
25,-200.0,200,-161.87867663277862
26,-200.0,200,-154.51987633739665
27,-200.0,200,-142.0094066615248
28,-200.0,200,-154.79598969963723
29,-200.0,200,-154.17044526490156
30,-200.0,200,-112.92614008224238
31,-200.0,200,-142.34436975633963
32,-200.0,200,-163.5523413083753
33,-200.0,200,-162.20187919076474
34,-200.0,200,-156.38366332353664
35,-200.0,200,-143.94557611069575
36,-200.0,200,-158.16983326951657
37,-200.0,200,-132.45069354867917
38,-200.0,200,-124.76358961579223
39,-200.0,200,-154.05013970370211
40,-200.0,200,-139.33723988391745
41,-200.0,200,-167.98591240528245
42,-200.0,200,-131.39464170278754
43,-200.0,200,-146.07390926428153
44,-200.0,200,-156.76278254835418
45,-200.0,200,-153.62904486666082
46,-200.0,200,-166.02861270420559
47,-200.0,200,-149.10208073619268
48,-200.0,200,-150.60977092773803
49,-200.0,200,-131.7124859447477
50,-200.0,200,-133.62909697883944
51,-200.0,200,-154.71040228147558
52,-200.0,200,-156.57339721038056
53,-200.0,200,-145.6982063973455
54,-200.0,200,-152.42133491520562
55,-200.0,200,-145.37032173509672
56,-200.0,200,-138.949844164797
57,-200.0,200,-147.71144102296634
58,-200.0,200,-151.75917559900452
59,-200.0,200,-145.7142697223216
60,-200.0,200,-147.08177591122356
61,-200.0,200,-142.32117265291495
62,-200.0,200,-136.55271490486484
63,-200.0,200,-130.65076436504532
64,-200.0,200,-141.9475534478503
65,-200.0,200,-156.72514996672427
66,-200.0,200,-150.90117790755158
67,-200.0,200,-130.62619113094004
68,-200.0,200,-131.97525538472098
69,-200.0,200,-121.52045404649168
70,-200.0,200,-126.04432690522367
71,-200.0,200,-139.32117830078948
72,-200.0,200,-139.7957599180486
73,-200.0,200,-147.89689989896087
74,-200.0,200,-155.87399070183707
75,-200.0,200,-131.61842609210188
76,-200.0,200,-130.8699010435418
77,-200.0,200,-120.35158821699783
78,-200.0,200,-136.9403611806389
79,-200.0,200,-129.90912283654654
80,-200.0,200,-142.91093795692083
81,-200.0,200,-125.2877007036997
82,-200.0,200,-147.15747963705306
83,-200.0,200,-134.82320494399494
84,-200.0,200,-140.49473217918376
85,-200.0,200,-116.56202815010438
86,-200.0,200,-119.83976101724514
87,-200.0,200,-124.73022913001695
88,-200.0,200,-111.50347520737529
89,-200.0,200,-117.81544471065881
90,-200.0,200,-124.69576002048987
91,-200.0,200,-129.9797771926689
92,-200.0,200,-135.77374378819985
93,-200.0,200,-123.62767479025995
94,-200.0,200,-107.68466295497923
95,-200.0,200,-131.50327663017475
96,-200.0,200,-115.92343939577086
97,-200.0,200,-147.22970695653103
98,-200.0,200,-127.48422896078395
99,-200.0,200,-122.31216601716494
100,-200.0,200,-132.46873063323554
101,-200.0,200,-119.15573612761834
102,-200.0,200,-116.32503652171732
103,-200.0,200,-110.88027047093037
104,-200.0,200,-136.04927279381218
105,-200.0,200,-121.06001953241946
106,-200.0,200,-133.0704801914651
107,-200.0,200,-124.9420991193868
108,-200.0,200,-141.3982254466299
109,-200.0,200,-122.53507294512444
110,-200.0,200,-108.47525307504725
111,-200.0,200,-123.18514958452646
112,-200.0,200,-135.79248491980735
113,-200.0,200,-120.97984248184514
114,-200.0,200,-84.28678434295095
115,-200.0,200,-130.20653414669454
116,-200.0,200,-116.31212499656934
117,-200.0,200,-117.01949406592608
118,-200.0,200,-133.96311628053337
119,-200.0,200,-119.25701474160003
120,-200.0,200,-127.87602438021176
121,-200.0,200,-124.31155121748174
122,-200.0,200,-138.14132681973976
123,-200.0,200,-123.51943964585418
124,-200.0,200,-107.48159015395692
125,-200.0,200,-126.00689780818463
126,-200.0,200,-109.53220666882588
127,-200.0,200,-114.30221101916494
128,-200.0,200,-120.08449378423214
129,-200.0,200,-128.3690908615897
130,-200.0,200,-151.88652078763184
131,-200.0,200,-107.53624899063271
