episode,reward,duration,qstep
0,-200.0,200,-155.83974213848143
1,-200.0,200,-131.21841861184396
2,-200.0,200,-148.1285053409796
3,-200.0,200,-161.27472755403
4,-200.0,200,-143.5993679842484
5,-200.0,200,-174.40773010280668
6,-200.0,200,-157.41070436608666
7,-200.0,200,-160.88929303064086
8,-200.0,200,-159.3325190164493
9,-200.0,200,-139.67608401606907
10,-200.0,200,-159.9938532323577
11,-200.0,200,-174.79827548316354
12,-200.0,200,-172.11938246175316
13,-200.0,200,-181.92581442563898
14,-200.0,200,-158.89779473865957
15,-200.0,200,-159.81544932066348
16,-200.0,200,-152.60106733597974
17,-200.0,200,-151.830552860163
18,-200.0,200,-107.91034270425232
19,-200.0,200,-156.08508998331715
20,-200.0,200,-147.15021497038475
21,-200.0,200,-146.8193569308904
22,-200.0,200,-159.5181115850014
23,-200.0,200,-151.57756171491567
24,-200.0,200,-139.67398621260384
25,-200.0,200,-157.04025133980232
26,-200.0,200,-155.8826932804926
27,-200.0,200,-159.87167890338654
28,-200.0,200,-159.41942077050086
29,-200.0,200,-148.19853620799896
30,-200.0,200,-171.6599764559949
31,-200.0,200,-144.96227445902022
32,-200.0,200,-164.66648401914108
33,-200.0,200,-137.3337514497722
34,-200.0,200,-158.4876017002097
35,-200.0,200,-142.58888610419055
36,-200.0,200,-126.58678998905826
37,-200.0,200,-143.49261437948172
38,-200.0,200,-149.39958477904472
39,-200.0,200,-130.85257733926045
40,-200.0,200,-140.28264496823357
41,-200.0,200,-146.42120396863896
42,-200.0,200,-142.4957655847421
43,-200.0,200,-138.16566260139805
44,-200.0,200,-133.54373644461776
45,-200.0,200,-146.6621853130246
46,-200.0,200,-126.72137843245069
47,-200.0,200,-154.88724061272526
48,-200.0,200,-142.9799315286611
49,-200.0,200,-146.78719161744988
50,-200.0,200,-129.05866858581862
51,-200.0,200,-136.7353259568415
52,-200.0,200,-138.67669821195338
53,-200.0,200,-110.15975370360849
54,-200.0,200,-142.62029365009553
55,-200.0,200,-155.1596867156685
56,-200.0,200,-129.3308935046136
57,-200.0,200,-135.53557112338862
58,-200.0,200,-116.15516376303088
59,-200.0,200,-133.36222762504872
60,-200.0,200,-141.1574675564243
61,-200.0,200,-141.51810071560027
62,-200.0,200,-125.93492272991797
63,-200.0,200,-130.04735559824803
64,-200.0,200,-116.71095516197623
65,-200.0,200,-139.55777974815686
66,-200.0,200,-134.6025553290115
67,-200.0,200,-161.54361871643366
68,-200.0,200,-138.68542778107326
69,-200.0,200,-134.41621477952714
70,-200.0,200,-123.91915058623353
71,-200.0,200,-146.57468469054237
72,-200.0,200,-132.62400180613756
73,-200.0,200,-136.8242199952513
74,-200.0,200,-138.72715855601467
75,-200.0,200,-125.08954401714877
76,-200.0,200,-132.14334473415835
77,-200.0,200,-147.5305050736412
78,-200.0,200,-135.87550129038212
79,-200.0,200,-139.72041988546312
80,-200.0,200,-126.80969866025356
81,-200.0,200,-134.64599826997272
82,-200.0,200,-122.11750171659023
83,-200.0,200,-137.36024135747982
84,-200.0,200,-130.32766488326124
85,-200.0,200,-142.65864308776852
86,-200.0,200,-148.19006819471085
87,-200.0,200,-123.94554741169476
88,-200.0,200,-131.06440968214983
89,-200.0,200,-136.5147851067224
90,-200.0,200,-123.43671387643215
91,-200.0,200,-128.94592022079723
92,-200.0,200,-136.52682390858922
93,-200.0,200,-138.79564071812027
94,-200.0,200,-128.62652970805973
95,-200.0,200,-114.43651074965976
96,-200.0,200,-144.36039701582692
97,-200.0,200,-124.38586487084875
98,-200.0,200,-114.48117346778207
99,-200.0,200,-120.03851056460373
100,-200.0,200,-130.29800179266894
101,-200.0,200,-118.96146246021841
102,-200.0,200,-124.74704049618047
103,-200.0,200,-127.62416450387927
104,-200.0,200,-125.93395575510068
105,-200.0,200,-119.89809763169771
106,-200.0,200,-122.12655253151901
107,-200.0,200,-122.50823127255205
108,-200.0,200,-129.66653494804706
109,-200.0,200,-116.7069351045649
110,-200.0,200,-135.1546189528658
111,-200.0,200,-131.15357051545038
112,-200.0,200,-110.24688286365044
113,-200.0,200,-141.85400149273374
114,-200.0,200,-131.2652012604243
115,-200.0,200,-132.18111277986506
116,-200.0,200,-129.5056761221233
117,-200.0,200,-118.65128688388725
118,-200.0,200,-132.9277047436086
119,-200.0,200,-140.76209798749932
120,-200.0,200,-128.38697711706183
121,-200.0,200,-123.76651504757581
122,-200.0,200,-127.35269466678805
123,-200.0,200,-121.33541385884003
124,-200.0,200,-108.70434707833338
125,-200.0,200,-115.83670090576855
126,-200.0,200,-122.28292534780562
127,-200.0,200,-112.5863683909739
128,-200.0,200,-114.60963379478697
129,-200.0,200,-137.1058563466953
130,-200.0,200,-136.503880042193
131,-200.0,200,-108.44428647998868
132,-200.0,200,-120.32814910834435
133,-200.0,200,-129.2592633513975
134,-200.0,200,-107.70038346290227
135,-200.0,200,-128.47785283349805
136,-200.0,200,-117.88702575399732
137,-200.0,200,-105.80465580460253
138,-200.0,200,-131.66977324032345
139,-200.0,200,-116.74636955267403
140,-200.0,200,-121.90311096461824
141,-200.0,200,-122.95632214644837
142,-200.0,200,-115.43293822704126
143,-200.0,200,-110.85852148440816
144,-200.0,200,-123.93717182104339
145,-200.0,200,-140.10910693064136
146,-200.0,200,-121.22557059597699
147,-200.0,200,-107.38669084535991
148,-200.0,200,-120.90320884143716
149,-200.0,200,-113.36223009139778
150,-200.0,200,-125.34926279529412
151,-200.0,200,-105.8289508966885
152,-200.0,200,-118.41592155186902
153,-200.0,200,-111.13813738164879
154,-200.0,200,-119.62101534390455
155,-200.0,200,-135.3960173634179
156,-200.0,200,-126.20696011396011
157,-200.0,200,-113.23221791152882
158,-200.0,200,-111.17387569851142
159,-200.0,200,-118.44981357870547
160,-200.0,200,-117.72292833800043
161,-200.0,200,-120.7905260870682
162,-200.0,200,-148.78069420830573
163,-200.0,200,-122.54228456035935
164,-182.0,182,-108.72499030562192
165,-200.0,200,-99.104298741936
166,-200.0,200,-138.21261861009341
167,-200.0,200,-132.90229192432466
168,-200.0,200,-111.13068708864576
169,-200.0,200,-108.19844696093206
170,-200.0,200,-121.54969542794683
171,-200.0,200,-114.0455985743131
172,-200.0,200,-146.0469163363494
173,-200.0,200,-107.33521969426496
174,-200.0,200,-128.8200162299657
175,-200.0,200,-81.49296448557601
176,-200.0,200,-100.01682842038426
177,-200.0,200,-118.80200191949123
178,-200.0,200,-129.1410667083738
179,-200.0,200,-132.5454087290722
180,-200.0,200,-114.4534966463933
181,-200.0,200,-130.1855081032342
182,-200.0,200,-118.48353526358436
183,-200.0,200,-109.66201140146634
184,-200.0,200,-131.88121230112523
185,-200.0,200,-99.34115045542703
186,-200.0,200,-124.05461383423989
187,-173.0,173,-91.67063979068465
