episode,reward,duration,qstep
0,-200.0,200,-77.69206714142575
1,-200.0,200,-109.71845162421863
2,-200.0,200,-64.04587551367767
3,-200.0,200,-92.08314897062911
4,-200.0,200,-160.38525122050282
5,-200.0,200,-160.42680438640633
6,-200.0,200,-152.92477340358448
7,-200.0,200,-117.80703705997374
8,-200.0,200,-138.73450879464653
9,-200.0,200,-137.9527657934044
10,-200.0,200,-169.68948886344248
11,-200.0,200,-122.38189320993939
12,-200.0,200,-149.78346323943927
13,-200.0,200,-111.76242930694391
14,-200.0,200,-132.04730713903797
15,-200.0,200,-97.00463364031995
16,-200.0,200,-147.74092641978982
17,-200.0,200,-61.2925341510721
18,-200.0,200,-128.6551868075944
19,-200.0,200,-150.0495948763848
20,-200.0,200,-142.00135924417924
21,-200.0,200,-125.90796064678462
22,-200.0,200,-169.4467209704361
23,-200.0,200,-98.49924177403379
24,-200.0,200,-113.82177253684605
25,-200.0,200,-77.26527052922357
26,-200.0,200,-124.65503828852606
27,-200.0,200,-87.77404958234892
28,-200.0,200,-143.36765635457053
29,-200.0,200,-34.42556019317911
30,-200.0,200,-20.6332734715557
31,-200.0,200,-89.44668838214389
32,-200.0,200,-105.1416933285781
33,-200.0,200,-12.372831692565931
34,-200.0,200,-142.8134716954411
35,-200.0,200,-97.69417612168078
36,-200.0,200,-165.82566249733557
37,-200.0,200,-149.0599377358528
38,-200.0,200,-100.64259956557824
39,-200.0,200,-134.6499289317281
40,-200.0,200,-105.73897378832058
41,-200.0,200,-75.54400031852515
42,-200.0,200,-125.79364475368831
43,-200.0,200,-93.5255510713837
44,-200.0,200,-94.41627765251523
45,-200.0,200,-21.619343723363592
46,-200.0,200,-133.02305253905436
47,-200.0,200,-131.81830684766524
48,-200.0,200,-126.41040988532922
49,-200.0,200,-141.9221188557692
50,-200.0,200,-122.26005275129558
51,-200.0,200,-106.63143598087994
52,-200.0,200,-111.70058136020582
53,-177.0,177,-121.9448918482519
54,-200.0,200,-99.8730372413771
55,-200.0,200,-105.15587235986166
56,-200.0,200,-112.86374611324555
57,-200.0,200,-76.14476728558418
58,-200.0,200,-92.70630491768046
59,-200.0,200,-120.58430968558517
60,-200.0,200,-98.66791523809256
61,-200.0,200,-75.68067401148171
62,-200.0,200,-119.118378783998
63,-200.0,200,-83.84746882717158
64,-200.0,200,-74.3675307248767
65,-200.0,200,-83.34572234030028
66,-200.0,200,-33.37038252888083
67,-170.0,170,-90.84794311659822
68,-200.0,200,-76.65623303202089
69,-200.0,200,-106.22337297403547
70,-200.0,200,-109.8596078725708
71,-200.0,200,-79.15024004570921
72,-200.0,200,-93.63574141679887
73,-200.0,200,-114.42455262637279
74,-200.0,200,-4.321437994812548
75,-200.0,200,-96.6117680545615
76,-200.0,200,-149.80220706058054
77,-200.0,200,-102.0783579307124
78,-200.0,200,-56.428693206790655
79,-200.0,200,-69.13912038468759
80,-172.0,172,-89.09694857199186
81,-200.0,200,-100.50326772599978
82,-200.0,200,-75.01689600471192
83,-200.0,200,-67.95084509666134
84,-200.0,200,-77.71116513551192
85,-200.0,200,-95.42987051334903
86,-200.0,200,-72.50194619616285
87,-200.0,200,-51.889720777030035
88,-200.0,200,-72.6696480144859
89,-200.0,200,-61.102096106680335
90,-200.0,200,-75.22635368721811
91,-200.0,200,-123.77355381126577
92,-200.0,200,-121.53006915702018
93,-200.0,200,-5.008508702590191
94,-200.0,200,-97.73943614731942
95,-200.0,200,-126.62464020474779
96,-200.0,200,-50.09848149932763
97,-200.0,200,-89.00606357351701
98,-200.0,200,-106.47318057633954
99,-200.0,200,-97.20282436316116
100,-200.0,200,-128.20891210728618
101,-200.0,200,-127.63532509865107
102,-200.0,200,-116.77268179810818
103,-200.0,200,-69.44603457578664
104,-200.0,200,-107.09979225825606
