episode,episode_durations_dqn_aux,episode_durations_dqn_rnd
0,200,200
1,200,200
2,200,200
3,200,200
4,200,200
5,200,200
6,200,200
7,200,200
8,200,200
9,200,200
10,200,200
11,200,200
12,200,200
13,200,200
14,200,200
15,200,200
16,200,200
17,200,200
18,200,200
19,200,200
20,200,200
21,200,200
22,200,200
23,200,200
24,200,200
25,200,200
26,200,200
27,200,200
28,200,200
29,200,200
30,200,200
31,200,200
32,200,200
33,200,200
34,200,200
35,200,200
36,200,200
37,200,200
38,200,200
39,200,200
40,200,200
41,200,200
42,200,200
43,200,200
44,200,200
45,200,200
46,200,200
47,200,200
48,200,200
49,200,200
50,200,200
51,200,200
52,200,200
53,200,200
54,200,200
55,200,200
56,200,200
57,200,200
58,200,200
59,200,200
60,200,200
61,200,200
62,200,200
63,200,200
64,200,200
65,200,200
66,200,200
67,200,200
68,200,200
69,200,200
70,200,200
71,200,200
72,200,200
73,200,200
74,200,200
75,200,200
76,200,200
77,200,200
78,200,200
79,200,200
80,200,200
81,200,200
82,200,200
83,200,200
84,200,200
85,200,200
86,200,200
87,200,200
88,200,200
89,200,200
90,200,200
91,200,200
92,200,200
93,200,200
94,200,200
95,200,200
96,200,200
97,200,200
98,200,200
99,200,200
100,200,200
101,200,200
102,200,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
116,200,200
117,200,200
118,200,200
119,200,200
120,200,200
121,200,200
122,200,200
123,200,200
124,200,200
125,200,200
126,200,200
127,200,200
128,200,200
129,200,200
130,200,200
131,200,200
132,200,200
133,200,200
134,200,200
135,200,200
136,200,200
137,200,200
138,200,200
139,200,200
140,200,200
141,200,200
142,200,200
143,200,200
144,200,200
145,191,200
146,200,200
147,139,200
148,144,200
149,134,200
150,133,200
151,200,200
152,200,200
153,200,200
154,200,200
155,200,200
156,200,200
157,200,200
158,200,200
159,186,200
160,186,200
161,200,200
162,200,200
163,158,200
164,186,200
165,200,200
166,200,200
167,164,200
168,141,200
169,140,200
170,94,200
171,171,200
172,130,200
173,100,200
174,130,200
175,125,200
176,180,200
177,153,200
178,173,200
179,166,200
180,185,200
181,184,200
182,200,200
183,177,200
184,168,200
185,182,200
186,90,200
187,167,200
188,131,200
189,179,200
190,132,200
191,159,200
192,173,200
193,123,200
194,94,200
195,165,200
196,165,200
197,152,200
198,200,200
199,159,200
200,156,200
201,196,200
202,123,200
203,125,200
204,160,200
205,90,200
206,159,200
207,121,200
208,172,200
209,175,200
210,197,200
211,123,200
212,174,200
213,88,200
214,174,200
215,177,200
216,159,200
217,183,200
218,153,200
219,164,200
220,103,200
221,168,200
222,162,200
223,162,200
224,182,200
225,160,200
226,151,200
227,175,200
228,168,200
229,167,200
230,157,200
231,159,200
232,89,200
233,200,200
234,200,200
235,200,200
236,159,200
237,170,200
238,185,200
239,157,200
240,161,200
241,166,200
242,164,200
243,200,200
244,157,200
245,167,200
246,152,200
247,152,200
248,154,200
249,200,200
250,187,200
251,200,200
252,161,200
253,90,200
254,163,200
255,90,200
256,161,200
257,162,200
258,157,200
259,166,200
260,161,200
261,155,200
262,166,200
263,153,200
264,173,200
265,156,200
266,200,200
267,187,200
268,154,200
269,117,200
270,156,200
271,166,200
272,105,200
273,167,200
274,97,200
275,157,200
276,200,200
277,151,200
278,200,200
279,161,200
280,200,200
281,98,200
282,161,200
283,155,200
284,124,200
285,161,200
286,163,200
287,156,200
288,164,200
289,155,200
290,94,200
291,161,200
292,157,200
293,158,200
294,174,200
295,167,200
296,152,200
297,154,200
298,147,200
299,149,200
300,198,200
301,170,200
302,164,200
303,192,200
304,155,200
305,168,200
306,125,200
307,127,200
308,122,200
309,185,200
310,170,200
311,160,200
312,163,200
313,107,200
314,159,200
315,176,200
316,200,200
317,200,200
318,200,200
319,173,200
320,108,200
321,160,200
322,124,200
323,198,200
324,200,200
325,155,200
326,160,200
327,163,200
328,156,200
329,158,200
330,158,200
331,164,200
332,149,200
333,170,200
334,160,200
335,170,200
336,157,200
337,166,200
338,154,200
